,item,condition,attraction,violation,model,model_type,model_arch,surp,target_attn,dist_attn,attn_entropy
29,4,h,grammatical,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,12.049161911010742,0.17455922,0.26165432,1.706884
30,4,g,semantic,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,13.292498588562012,0.1901617,0.2067771,1.731978
31,4,f,double,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,12.17187213897705,0.1948507,0.25674072,1.7141713
32,5,a,none,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,11.64419937133789,0.13563547,0.165114,1.6691732
33,5,b,grammatical,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,9.99554443359375,0.12889051,0.19051743,1.6648777
34,5,c,none,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,13.410812377929688,0.11871285,0.15585542,1.7297935
35,5,d,semantic,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,12.69999885559082,0.10762235,0.22389098,1.7239981
36,5,e,none,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,14.274765014648438,0.11124719,0.1827432,1.6760978
37,5,h,grammatical,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,12.701863288879395,0.101622716,0.25618696,1.6571269
38,5,g,semantic,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,14.005575180053711,0.08914919,0.290392,1.6315024
39,5,f,double,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,12.807292938232422,0.09532758,0.31730238,1.6188898
40,6,a,none,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,9.129942893981934,0.25194865,0.11264401,1.8497138
41,6,b,grammatical,grammatical,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,8.084033966064453,0.17274329,0.27449816,1.7950008
42,6,c,none,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.70122241973877,0.17690334,0.103912935,1.8782712
43,6,d,semantic,semantic,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.272682189941406,0.16338812,0.17022635,1.8924448
44,6,e,none,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,9.842093467712402,0.19149108,0.1419926,1.9044541
45,6,h,grammatical,double,cbrnn_256_0_soft_2400,cbrnn_256_0_soft,cbrnn,10.237239837646484,0.14238288,0.29516217,1.8075516
